,.CSI716567,.dMICN00000NUS,.dMIEF00000NUS,.dMIEF00000PUS,.dMIEM00000PEU,.dMIEU00000GEU,.dMIEU00000NEU,.dMIEU0000VGUS,.dMIEU2D000PEU,.dMIIN00000NUS,.dMIWO00000GUS,.dMIWO0000VNUS,.dMIWO0HC00GUS,.IBOFAHPC0,.IBXXCS2,.MERER00,.MERER01,.MERG0O1,.MERHE4M,.MIEF000I0GUS,.MIWD0000vNUS,.MIWO0002GGUS,.MIWO0IV00GUS,.RAVTRI,.RLGNET,.SP5MVT,.SPGTCLTR,.SPGTINTR,.SPHYDAN,.SPX,.STOXX50ER,.SXXGR,.TOPXDVNET,.WTDGITR,.XNDX,.XNDXNNRL,SYBA.DE,SYBU.DE,.TFRURANLLU,EURIBOR1M,EURIBOR3M,PWHEAMTUSDM
2013-12-31,,390.268,410.500991,1002.69277,102.32,178.099,165.542,11210.35,,436.52,6048.181,6958.657,230.1,,,,,,,1188.26,1366.83,,104.08,5599.4,,,770.8737,,,1848.36,5625.37,139.12,,,3881.55,3439.77,,,,0.2144,0.2735,
2014-01-01,,390.268,410.488232,1002.661604,102.32,178.099,165.542,11210.35,,436.306,6048.275,6958.657,230.1,,,,,,,1188.27,1366.8,,104.08,,,,,,,,5625.37,,,,,,,,,,,229.980359365079
2014-01-02,,389.552,405.661384,990.7881195,101.012,176.681,164.223,11012.07,,428.969,5991.073,6886.98,228.201,,,,,,,1175.36,1353.71,,103.06,5548.46,,,787.7921,,,1831.98,5536.59,138.09,,,3851.7,3386.3,54.85,75.69,,,,
2014-01-03,,380.809,401.042303,979.4870224,101.54,177.637,165.112,11023.9,,429.777,5994.35,6895.288,228.968,,,,,,,1163.51,1351.15,,103.3,5559.54,,,791.202,,,1831.37,5562.83,138.86,,,3824.86,3339.05,54.91,75.96,,,,
2014-01-06,,376.426,398.163032,972.4199739,101.439,177.24,164.743,11025.44,,427.916,5976.585,6882.345,228.386,,,,,,,1155.43,1346.78,,102.8,5551.8,,,787.0882,,,1826.77,5553.29,138.58,1671.12,,3812.14,3316.68,54.97,75.9,,,,
2014-01-07,,374.651,397.779528,971.4833561,102.536,178.553,165.963,11103.42,,425.113,6000.258,6908.609,230.197,,,,,,,1154.9,1352.32,,103.89,5582.63,,,792.7094,,,1837.88,5628.93,139.61,1659.6,,3845.58,3374.8,55.06,76.12,,,,
2014-01-08,,379.208,398.471433,973.1731718,102.687,178.737,166.134,11101.48,,427.317,6010.408,6909.699,231.851,,,,,,,1157.44,1351.18,,103.89,5580.65,,,794.7687,,,1837.49,5628.39,139.76,1689.33,,3856.1,3393.18,55.03,76.17,,,,
2014-01-09,,374.427,394.35821,963.1108426,102.184,177.984,165.434,11050.13,,427.819,5996.579,6895.69,232.79,,,,,,,1146.2,1346.29,,103.86,5583.58,,,794.453,,,1838.13,5591.46,139.19,1677.07,,3839.93,3364.67,54.99,76.01,,,,
2014-01-10,,375.193,397.240341,970.1496502,102.618,178.8,166.192,11166.48,,430.227,6028.418,6931.23,234.354,,,,,,,1154.18,1353.5,,103.65,5593.21,,,797.2004,,,1842.37,5616.6,139.85,1679.31,,3853.44,3388.31,55.08,75.88,,,,
2014-01-13,,376.277,400.232731,977.4245031,103.071,179.218,166.581,11173.16,,439.372,5993.431,6896.982,232.948,,,,,,,1162.66,1342.58,,101.91,5532.46,,,794.0143,,,1819.2,5632.17,140.18,,,3796.93,3288.78,55.16,76.31,,,,
