,Instrument,Main Index,Main Index RIC,First Trade Date,Fund Type,Geographic Focus,Currency,Total Expense Ratio,Benchmark Type,Benchmark Name,Benchmark Instrument Code,Benchmark Instrument RIC
0,LU0094219127,,,,Money Market,EuroZone,EUR,0.1,Fund Manager,Euro Short Term Rate EUR,11063860,EUROSTR=
1,FR0010213355,,,,Money Market,EuroZone,EUR,0.1,Fund Manager,Index is not available on Lipper Database,11000000,
2,LU0568620131,,,,Money Market,EuroZone,EUR,0.28,Fund Manager,EURIBOR 3 Month,11000131,EURIBOR3MD=X
3,FR0013296332,,,,Money Market,EuroZone,EUR,0.07,Fund Manager,Index is not available on Lipper Database,11000000,
4,LU0987193264,,,,Money Market,EuroZone,EUR,0.36,Fund Manager,EURIBOR 3 Month,11000131,EURIBOR3MD=X
5,LU0487547167,,,,Equity,Global,EUR,0.86,Fund Manager,Index is not available on Lipper Database,11000000,
6,LU0839527339,,,,Equity,Global,EUR,0.99,Fund Manager,Index is not available on Lipper Database,11000000,
7,LU0428380124,,,,Alternatives,Global,EUR,1.7,Fund Manager,Index is not provided by Management Company,11000006,
8,JE00BN2CJ301,FTSE 100 Index,.FTSE,2020-12-03,,,,,,,,
9,IE00BYQDND46,,,,Mixed Assets,Global,EUR,0.85,Fund Manager,Euro Short Term Rate EUR,11063860,EUROSTR=
10,DE000A1C5D13,,,,Alternatives,Global,EUR,1.46,Fund Manager,Index is not available on Lipper Database,11000000,
11,LU0607983383,,,,Alternatives,Global,EUR,1.38,Fund Manager,EURIBOR 1 Month,11000130,EURIBOR1MD=X
12,IE00BRJT7613,,,,Alternatives,Global,EUR,1.7,Fund Manager,Index is not available on Lipper Database,11000000,
13,LU1694789378,,,,Bond,Global,EUR,0.66,Fund Manager,Euro Short Term Rate EUR + 2%,11068858,
14,LU0151325312,,,,Bond,Global,EUR,0.64,Fund Manager,Euro Short Term Rate EUR,11063860,EUROSTR=
15,IE00BG1V1C27,,,,Alternatives,Global,EUR,1.38,Fund Manager,Index is not available on Lipper Database,11000000,
16,LU1694789709,,,,Bond,Global,EUR,0.9,Fund Manager,Euro Short Term Rate EUR + 2%,11068858,
17,LU1946739494,,,,,,,,,,,
18,LU1648456215,,,,Bond,Global,EUR,0.43,Fund Manager,Index is not available on Lipper Database,11000000,
19,IE00B81TMV64,,,,Bond,Global,EUR,0.58,Fund Manager,Index is not provided by Management Company,11000006,
20,FR0010674978,,,,Bond,EuroZone,EUR,0.71,Fund Manager,Index is not available on Lipper Database,11000000,
21,LU0539144625,,,,Bond,Europe,EUR,0.43,Fund Manager,Index is not available on Lipper Database,11000000,
22,LU0113258742,,,,Bond,Europe,EUR,0.63,Fund Manager,ICE BofA Euro Corporate TR EUR,11025166,
23,LU2216205182,,,,Bond,Europe,EUR,0.15,Fund Manager,Bloomberg Euro Aggregate Bond TR,11000480,
24,IE0033758917,,,,Bond,Global,EUR,0.6,Fund Manager,Index is not provided by Management Company,11000006,
25,LU1184248083,,,,Bond,Global,EUR,0.23,Fund Manager,Markit iBoxx Euro Overall 1-3 Year TR,11034561,.IBBEU0003
26,LU1365052627,,,,Bond,Europe,EUR,0.33,Fund Manager,Index is not available on Lipper Database,11000000,
27,LU1481584016,,,,Bond,Global,EUR,0.52,Fund Manager,Index is not provided by Management Company,11000006,
28,IE00BF5B2C87,,,,Bond,Global,EUR,0.63,Fund Manager,EURIBOR 1 Month + 2%,11043456,
29,LU0704114668,,,,Mixed Assets,Global,EUR,0.91,Fund Manager,Index is not provided by Management Company,11000006,
30,ES0161032000,,,,Money Market,Europe,EUR,0.21,Fund Manager,EURIBOR 3 Month,11000131,EURIBOR3MD=X
31,IE00BJCX8K53,,,,Bond,Global,EUR,0.2,Fund Manager,Index is not provided by Management Company,11000006,
32,FR0010914572,,,,Bond,Global,EUR,0.2,Fund Manager,Index is not available on Lipper Database,11000000,
33,IE00B80G9288,,,,Bond,Global,EUR,0.55,Fund Manager,Bloomberg U.S. Aggregate TR EUR Hedged,11032751,
34,IE00B4Y6FV77,,,,Bond,Global,EUR,0.46,Fund Manager,Index is not provided by Management Company,11000006,
35,LU2386637925,,,,Bond,Europe,EUR,0.15,Fund Manager,Bloomberg Euro Aggregate 1-3 Y TR,11029684,
36,LU1915690835,,,,Bond,Europe,EUR,0.46,Fund Manager,Index is not available on Lipper Database,11000000,
37,FR0011510056,,,,Alternatives,Global,EUR,0.3,Fund Manager,Euro Short Term Rate EUR,11063860,EUROSTR=
38,LU1670722757,,,,Bond,Global,EUR,0.61,Fund Manager,Index is not available on Lipper Database,11000000,
39,IE00BZ048579,FTSE 100 Index,.FTSE,2019-01-11,Bond,United States of America,USD,0.12,Fund Manager,Index is not available on Lipper Database,11000000,
