,Instrument,Performance_for_1_Year_to_Last_Month_End,Performance_for_3_Year_to_Last_Month_End,Alpha_for_1_Year_to_Last_Month_End,Alpha_for_3_Years_to_Last_Month_End,Alpha_for_5_Years_to_Last_Month_End,Alpha_for_10_Years_to_Last_Month_End,Beta_for_1_Year_to_Last_Month_End,Beta_for_3_Years_to_Last_Month_End,Beta_for_5_Years_to_Last_Month_End,Beta_for_10_Years_to_Last_Month_End,R_Squared_for_1_Year_to_Last_Month_End,R_Squared_for_3_Years_to_Last_Month_End,R_Squared_for_5_Years_to_Last_Month_End,R_Squared_for_10_Years_to_Last_Month_End,Standard_Deviation_for_1_Year_to_Last_Month_End,Standard_Deviation_for_3_Years_to_Last_Month_End,Standard_Deviation_for_5_Years_to_Last_Month_End,Standard_Deviation_for_10_Years_to_Last_Month_End,Sharpe_Ratio_for_1_Year_to_Last_Month_End,Sharpe_Ratio_for_3_Years_to_Last_Month_End,Sharpe_Ratio_for_5_Years_to_Last_Month_End,Sharpe_Ratio_for_10_Years_to_Last_Month_End,Information_Ratio_for_1_Year_to_Last_Month_End,Information_Ratio_for_3_Years_to_Last_Month_End,Information_Ratio_for_5_Years_to_Last_Month_End,Information_Ratio_for_10_Years_to_Last_Month_End,Max_Drawdown_for_1_Year_to_Last_Month_End,Max_Drawdown_for_3_Years_to_Last_Month_End,Max_Drawdown_for_5_Years_to_Last_Month_End,Max_Drawdown_for_10_Years_to_Last_Month_End,Treynor_Ratio_for_1_Year_to_Last_Month_End,Treynor_Ratio_for_3_Years_to_Last_Month_End,Treynor_Ratio_for_5_Years_to_Last_Month_End,Treynor_Ratio_for_10_Years_to_Last_Month_End,Correlation_for_1_Year_to_Last_Month_End,Correlation_for_3_Years_to_Last_Month_End,Correlation_for_5_Years_to_Last_Month_End,Correlation_for_10_Years_to_Last_Month_End,Tracking_Error_for_1_Year_to_Last_Month_End,Tracking_Error_for_3_Years_to_Last_Month_End,Tracking_Error_for_5_Years_to_Last_Month_End,Tracking_Error_for_10_Years_to_Last_Month_End,Daily_Value_Traded
0,LU0094219127,3.5210217,3.0302745,0.0075817,0.0020525,0.0024562,0.0010936,1.0207559,1.0749976,1.0828285,1.050816,0.4245679,0.7837746,0.8058314,0.7859416,0.189819,0.5539332,0.4738341,0.3495993,-0.3820331,-0.7843142,-0.6336602,-0.6467998,0.5286538,0.0766718,0.1778347,0.1026047,0.0,-0.9458648,-1.8249538,-3.0383292,-0.0067992,-0.0153615,-0.0103883,-0.0081131,0.6515888,0.8853105,0.8976811,0.8865335,0.013783,0.0098764,0.0079168,0.0061244,0.0
1,FR0010213355,3.6281892,3.3877633,0.0225084,0.0121275,0.0151186,0.0143461,1.4636587,1.1012392,1.1908343,1.1573069,0.3256587,0.6135128,0.5849769,0.5515401,0.2140626,0.5533847,0.471566,0.3466569,0.0563844,-0.2828507,0.0019656,0.2165083,0.6367878,0.6803788,0.845486,1.0997999,0.0,-0.7499392,-1.3042943,-1.9103607,0.0011446,-0.0062605,3.78e-05,0.0032416,0.5706651,0.7832706,0.7648378,0.7426574,0.024983,0.0152544,0.0150245,0.0117349,0.0
2,LU0568620131,3.3870056,2.6353527,0.0006248,-0.0096759,-0.0050009,0.0018053,1.2905474,1.0135913,1.1302677,1.2798561,0.5755859,0.7381171,0.7200625,0.6494025,0.1917068,0.5536646,0.4692139,0.3419568,-0.8990683,-1.3287202,-0.9848989,-0.5611356,-0.2640995,-0.9464532,-0.630471,-0.0693333,0.0,-1.1421867,-2.1168854,-3.1477806,-0.0137426,-0.0268169,-0.0170812,-0.0077433,0.7586738,0.8591374,0.8485649,0.8058552,0.0132856,0.0104713,0.0105471,0.0109106,0.0
3,FR0013296332,3.5599814,3.2747668,0.0272419,0.01184,0.0175349,,2.1817025,1.2604567,1.4114202,,0.4536735,0.5122126,0.4235593,,0.239145,0.5557677,0.4715441,,-0.1015789,-0.3252869,-0.0103665,,0.3369692,0.3367896,0.4935994,,0.0,-0.790045,-1.2585034,,-0.001747,-0.0078796,-0.0002344,,0.6735529,0.7156903,0.6508143,,0.0309288,0.0217974,0.0249741,,0.0
4,LU0987193264,3.3017897,2.3855643,-0.0075424,-0.0165716,-0.01132,0.0032675,1.1994694,1.0062326,1.1288605,1.4461942,0.586424,0.7262557,0.6943325,0.1601394,0.1880035,0.553031,0.4680739,0.3608021,-1.3547018,-1.6582452,-1.2844022,-0.2481033,-0.8716899,-1.5570078,-1.1579101,-0.0219807,0.0,-1.2641452,-2.3689516,-3.3722438,-0.0205149,-0.0337397,-0.0226844,-0.0068944,0.7657832,0.8522064,0.8332661,0.4001742,0.0119082,0.0107124,0.0111847,0.037162,0.0
5,LU0487547167,-3.2960753,-7.904463,-0.6178724,-0.429952,-0.0183221,-0.2939628,0.3628774,0.2443852,0.2691248,0.2147114,0.2943491,0.1471677,0.0511305,0.0401339,5.1819053,4.8805675,8.8756963,8.1878537,-0.3796659,-0.2272938,0.014745,-0.1013817,-0.3609566,-0.3430939,-0.0584254,-0.1785779,-4.581425,-7.9715465,-9.5715483,-33.8462189,-1.5834905,-1.3428396,0.136963,-1.0970556,0.5425395,0.3836244,0.2261206,0.2003344,1.9221845,2.1704014,2.8785929,2.8424646,0.0
6,LU0839527339,-3.3297957,-8.1663516,-0.6206315,-0.4378217,-0.0228593,-0.2999272,0.3616428,0.2442876,0.2678035,0.2111989,0.2918779,0.1472839,0.0503472,0.0388185,5.1858562,4.8768861,8.9028338,8.1920407,-0.3812782,-0.2329575,0.0127858,-0.1043426,-0.3616695,-0.3468234,-0.059927,-0.1806236,-4.6115551,-8.241966,-9.6792751,-34.2821264,-1.5969328,-1.3757571,0.1196849,-1.1480663,0.5402572,0.3837758,0.2243818,0.1970241,1.9264314,2.1698703,2.886697,2.8485834,0.0
7,LU0428380124,-5.220403,6.6085848,0.1897859,0.1529363,0.2159623,0.3095243,1.519207,1.2432042,1.3121029,1.0860144,0.2995819,0.1972219,0.2368542,0.2830777,15.1356211,14.5278306,14.415104,13.4396141,-0.167104,0.0185393,0.0704394,0.1065012,-0.0337937,0.0363767,0.0639202,0.0968273,-7.6755749,-12.9980782,-13.992978,-15.5992714,-0.4884873,0.0630005,0.2232864,0.3794876,0.5473408,0.4440967,0.4866767,0.5320505,3.8084481,3.8029764,3.6652048,3.2805901,0.0
8,JE00BN2CJ301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695841.84
9,IE00BYQDND46,-5.0121261,-16.0714286,-1.32129,-0.7593554,-0.1444799,,1.4243687,0.6484145,0.445352,,0.8166444,0.5121396,0.2855421,,8.7865835,7.9339042,7.1842574,,-0.2883889,-0.2572041,0.0218664,,-0.9005602,-0.4686332,-0.1696012,,-11.3985449,-22.4345364,-22.4345364,,-0.5081697,-0.9039222,0.1026164,,0.9036838,0.7156393,0.5343614,,1.2695247,1.8208053,2.2484116,,0.0
