Date,LU0094219127,FR0010213355,LU0568620131,FR0013296332,LU0987193264,LU0487547167,LU0839527339,LU0428380124,JE00BN2CJ301,IE00BYQDND46,DE000A1C5D13,LU0607983383,IE00BRJT7613,LU1694789378,LU0151325312,IE00BG1V1C27,LU1694789709,LU1946739494,LU1648456215,IE00B81TMV64,FR0010674978,LU0539144625,LU0113258742,LU2216205182,IE0033758917,LU1184248083,LU1365052627,LU1481584016,IE00BF5B2C87,LU0704114668,ES0161032000,IE00BJCX8K53,FR0010914572,IE00B80G9288,IE00B4Y6FV77,LU2386637925,LU1915690835,FR0011510056,LU1670722757,IE00BZ048579,FI4000233242,LU0853555893,IE00BJCXFM61,LU0329592371,LU0940006884,FR0013285038,LU0219455952,IE00BDZRX185,LU0566481197,LU1209899100,LU0700927352,LU0355584201,IE00B1FZS681,LU0832429905,LU0336683767,LU0231473439,LU0562248236,LU0210245469,LU0290358224,LU0227127726,IE00B503VV16,IE00B2R34Y72,LU0320897043,LU0996177563,IE00BFNM3G45,IE00BZ56RD98,LU1681038326,LU0174119775,IE00B5BMR087,IE00BYVQ9F29,IE00BYX8XD24,LU0225434405,LU0225434744,LU0594300500,LU0231204701,IE00BYW5Q791,LU0346390866,IE00BKM4GZ66,IE00BQT3WG13,IE00BTJRMP35,IE00BZCQB185,LU0181496059,IE00B5M1WJ87,IE00BFNM3D14,IE00BFMNHK08,LU2183143846,DE0002635307,FR0007054358,LU0318940003,LU0389811539,LU1482751903,IE00BJ5JS448,LU2146192377,LU1985812830,LU0463469121,IE00BFNM3J75,LU1548499802,LU1842711688,ES0116561038,LU1295556887,LU0348927095,LU2145462722,LU0346389348,IE00B1XNHC34,LU0196034820,LU1923621996,IE00BF12WY77,LU1079060882,LU1277647274,IE00B6YX4L58,LU1665238009,LU0474968459,LU1819479939,LU1822773807,ES0158867038,LU1529781624,LU1700711150,LU0366533882,IE00BFRSYK98,LU1684370999,LU1951223004,LU2129420225,LU2015349330,DE000A2T0VU5,LU0654531341,LU2091935150,LU1663901848,IE00BDCY2C68,LU0415391514,LU0302447452,IE00B6R52259,LU1985812756,LU0329207053,LU1668657197,LU0828813369,LU0280430405,LU0256845834,IE00BFLQFY02,IE00BJQ2XG97,LU2367661365,IE00BKPFD774
2018-12-31,139.2903,2276.11,1007.56,499.9,99.24,720.87,72.21,123.91,,10.8,16626.74,73.17,105.48,100.85,221.9,98.1537,100.43,,97.91,145.55,1970.22,14.01,23.6134,,159.0,1516.31,5212.93,101.83,,111.9354,9.7967,,10503.47,13.37,120.48,,,102.49,9.5362,4.3952537,100.623,12.58,,16.36,114.9,99.19,196.577056,10.37,12.2201962,89.82,13.4214,120.802,170.6858,123.63,1578.85,16.122,95.3755625,166.1,214.0566,100.86,5.368779,21.5,214.47,1238.8413433,3.9743171,17.2374949,60.927253,39.4168839,214.4217249,4.2213,5.3801,,,15.2471435,35.2005195,8.0390848,17.3815686,22.3913443,2.846046,38.6990522,4.4627855,34.4533832,20.7282,4.7005,16.9494,,33.11,29.1517,18.94,1604.93,13.15,,308.21,,179.38,3.9541975,956.49,20.8018974,11.8343,10.43,16.38,24.14,47.53,4.190034,12.37,89.1997259,9.57,11029.1,86.5054515,108.05,9.9812,67.37,86.69,8.34,9.482,109.79,103.24,205.03,16.36,104.77,,,,,1719.02,,94.41,9.5124,452.62,16.6912,38.0864547,,84.9294612,91.02,17.8276985,72.2642871,205.4296717,1.7033,,,
2019-01-01,139.2903,2276.09,1007.56,499.9,99.24,720.87,72.21,123.91,,10.8,16626.74,73.17,105.48,100.85,221.9,98.1537,100.43,,97.91,145.55,1970.22,14.01,23.6134,,159.0,1516.31,5212.93,101.83,,111.9354,9.7967,,10503.47,13.37,120.48,,,102.49,9.5362,4.3952537,100.623,12.58,,16.36,114.9,99.19,196.577056,10.37,12.2201962,89.82,13.4214,120.802,170.6858,123.63,1578.85,16.122,95.3755625,166.1,214.0566,100.86,5.368779,21.5,214.47,1238.8413433,3.9743171,17.2374949,60.927253,39.4168839,214.4217249,4.2213,5.3801,,,15.2471435,35.2005195,8.0390848,17.3815686,22.3913443,2.846046,38.6990522,4.4627855,34.4533832,20.7282,4.7005,16.9494,,33.11,29.1517,18.94,1604.93,13.15,,308.21,,179.38,3.9541975,956.49,20.8018974,11.8343,10.43,16.38,24.14,47.53,4.190034,12.37,89.1997259,9.57,11029.1,86.5054515,108.05,9.9812,67.37,86.69,8.34,9.482,109.79,103.24,205.03,16.36,104.77,,,,,1719.02,,94.41,9.5124,452.62,16.6912,38.0864547,,84.9294612,91.02,17.8276985,72.2642871,205.4296717,1.7033,,,
2019-01-02,139.2861,2276.07,1007.53,499.9,99.24,720.15,72.14,127.04,,10.82,16614.95,73.35,105.96,100.75,222.36,98.2692,100.34,,97.94,145.14,1963.73,14.04,23.6735,,158.98,1516.35,5231.84,101.93,,111.9045,9.7974,,10503.21,13.38,120.45,,,102.5,9.5338,4.4243399,100.631,12.62,,16.35,115.11,99.19,198.1472306,10.38,12.3047854,89.73,13.4205,121.372,170.8484,124.01,1584.29,16.1184,96.0801381,166.61,214.2938,100.86,5.3202694,21.5,217.43,1259.7439824,4.0058344,17.3577643,61.6393858,39.1908608,216.1493983,4.2418,5.3616,,,15.1479282,34.9018834,8.0495386,17.2351718,22.3997346,2.8253528,38.6834052,4.435789,34.000934,20.6767,4.6932,17.0045,,33.21,29.0709,18.83,1641.75,13.16,,307.58,,178.65,3.9754505,952.75,20.731525,11.8504,10.42,16.31,24.2,47.95,4.2469683,12.25,88.8003256,9.54,11029.1,86.307963,106.83,9.9354,66.29,86.76,8.28,9.5194,109.79,104.35,204.49,16.29,104.43,,,,,1728.08,,94.84,9.4339,445.55,16.6287,38.2404163,,85.8327508,91.02,17.754781,71.6091885,203.9774215,1.7033,,,
2019-01-03,139.2844,2276.04,1007.52,499.89,99.24,721.1,72.24,128.7,,10.74,16382.84,73.5,106.23,100.74,221.84,98.1507,100.33,,98.04,144.65,1953.35,14.03,23.6156,,158.9,1515.31,5229.22,101.86,,111.5926,9.7925,,10503.1,13.43,120.67,,,102.5,9.5192,4.4161484,100.549,12.65,,16.35,115.02,99.18,198.1771624,10.39,12.2667766,89.87,13.4216,120.789,170.5731,123.65,1587.34,16.0544,95.7730464,166.13,213.4047,100.82,5.2151423,21.5,213.14,1224.7288947,3.8941075,16.7448993,59.3835374,39.0455359,210.1582079,4.0985,5.2523,,,14.8176404,34.4106342,7.9618483,17.003418,22.1859052,2.8117526,38.3107986,4.3728718,33.5383421,20.6086,4.6487,16.8369,,32.89,28.6975,18.51,1626.86,12.84,,301.12,,174.92,3.9020957,953.05,20.470816,11.745,10.19,16.25,23.59,46.64,4.1816821,12.2,86.2548192,9.32,11029.1,87.0887504,106.76,9.9914,65.64,83.96,8.26,9.3787,109.79,101.67,203.89,16.04,101.14,,,,,1689.5,,94.73,9.328,430.26,16.635,37.5868586,,86.9299068,91.02,17.4686638,70.6822516,201.5304436,1.7033,,,
2019-01-04,139.2826,2275.98,1007.51,499.88,99.24,717.48,71.87,123.76,,10.82,16638.69,73.78,106.53,100.91,221.39,98.406,100.5,,98.16,144.66,1952.49,14.02,23.5608,,158.79,1514.64,5209.16,101.65,,112.3482,9.7882,,10501.72,13.43,120.38,,,102.43,9.5033,4.4051475,100.471,12.64,,16.34,114.6,99.17,198.8587388,10.39,12.2656287,90.16,13.4398,120.628,170.5164,123.36,1581.85,16.0073,95.6842798,165.74,213.1271,100.77,5.3329621,21.71,220.62,1264.8989901,4.0242404,17.2682552,61.9485858,39.3177444,217.0328096,4.2823,5.3997,,,15.2678356,35.0757051,8.072145,17.4414426,22.5034049,2.8769616,38.8729438,4.4066374,33.6844214,21.0667,4.7797,17.2727,,33.82,29.5444,19.05,1672.9,13.17,,309.35,,179.73,4.0035561,924.68,20.5791493,11.9339,10.48,16.35,24.05,47.8,4.2937501,12.34,89.4509361,9.54,11029.1,87.8032018,106.82,10.141,66.13,87.99,8.31,9.6364,109.8,105.03,206.63,16.62,105.55,,,,,1729.21,,96.33,9.3593,442.16,16.6114,38.5246408,,86.3408512,89.14,17.5466171,71.0979809,203.8808225,1.665,,,
2019-01-07,139.2774,2275.96,1007.46,499.88,99.23,713.85,71.51,121.49,,10.85,16590.39,74.28,106.76,100.93,221.73,98.5816,100.52,,97.9,144.93,1954.12,14.01,23.5426,,158.82,1513.93,5202.13,101.52,,112.3128,9.7866,,10499.65,13.43,120.26,,,102.41,9.5378,4.3841936,100.471,12.62,,16.34,114.43,99.15,198.9634633,10.41,12.2413484,90.44,13.4706,120.429,170.4166,123.2,1579.85,16.0689,95.1463105,165.52,213.0404,100.75,5.293681,21.87,221.63,1268.0125441,4.0379008,17.281221,62.2977952,39.9427616,217.566076,4.3251,5.42,,,15.2773647,34.7077994,8.0705667,17.4673239,22.6939974,2.8898736,39.2143166,4.4079254,34.0310933,21.0032,4.7736,17.2554,,33.77,29.4641,19.05,1668.75,13.5,,311.47,,179.34,4.0206255,963.92,20.7130004,11.9543,10.58,16.59,24.47,48.78,4.2991255,12.5,90.2856481,9.69,11029.1,88.2003881,107.01,10.1998,67.44,90.49,8.45,9.687,111.39,105.72,207.11,16.89,108.11,,,,,1736.8,,96.73,9.5909,441.34,16.9428,38.6829679,,85.7049268,92.02,17.868671,72.2163035,206.4145595,1.7204,,,
2019-01-08,139.2757,2275.94,1007.44,499.87,99.23,712.12,71.33,119.88,,10.86,16587.05,74.74,106.92,101.12,222.53,98.6155,100.7,,97.82,147.23,1962.87,13.99,23.5186,,158.93,1513.44,5196.31,101.56,,112.5164,9.7841,,10497.3,13.43,120.19,,,102.43,9.5645,4.3898438,100.469,12.6,,16.34,114.38,99.13,199.0926058,10.4,12.2969991,90.35,13.5094,120.202,170.2874,123.05,1578.13,16.1451,95.2880862,165.32,213.0981,100.74,5.3280149,22.0,223.19,1282.6129683,4.0848115,17.4838601,63.0181106,40.6942874,220.0620504,4.3673,5.4807,,,15.2865783,34.6286011,8.0846684,17.5415453,22.6772762,2.8847845,39.1902769,4.3955249,34.1579423,21.1669,4.8111,17.3892,,34.06,29.6705,19.26,1682.82,13.52,,315.92,,181.53,4.0610382,990.52,20.9502163,12.0272,10.68,16.84,24.67,48.93,4.3568059,12.7,91.9204941,9.81,11029.1,88.9226117,107.25,10.2374,68.55,91.26,8.55,9.7609,112.59,107.21,209.44,17.06,109.66,,,,,1751.4,,98.2,9.7076,447.33,17.2162,39.0305063,,85.7081224,92.63,18.1183973,73.5398913,209.9916127,1.7325,,,
2019-01-09,139.2739,2275.92,1007.43,499.87,99.23,709.69,71.09,118.68,,10.88,16665.56,74.46,107.5,101.27,223.13,98.5803,100.86,,97.77,147.25,1979.3,13.99,23.5595,,159.18,1514.03,5204.68,101.81,,112.5548,9.786,,10497.07,13.45,120.28,,,102.47,9.6012,4.3663801,100.557,12.59,,16.34,114.59,99.13,198.5421138,10.42,12.227098,90.58,13.5117,120.397,170.4668,123.32,1578.6,16.2561,94.7857461,165.68,214.0859,100.78,5.3313779,22.1,225.02,1280.359468,4.0792612,17.4270353,63.105187,40.9872098,219.6884909,4.3982,5.4965,,,15.6112794,34.3152774,8.0792932,17.8265694,22.9535325,2.9098486,39.7098128,4.3684651,34.5005799,21.3159,4.8352,17.4945,,34.25,29.8313,19.46,1691.58,13.83,,319.09,,182.53,4.06901,1004.73,20.9974748,12.0691,10.79,17.09,24.94,49.76,4.3842762,12.9,92.4514385,9.85,11029.1,89.1328471,107.48,10.3103,69.65,91.97,8.68,9.8376,114.06,107.64,210.94,17.18,110.74,,,,,1760.28,,98.82,9.8512,452.87,17.4095,39.1616371,,85.5291688,93.3,18.3043771,74.2947474,211.1214864,1.7317,,,
2019-01-10,139.2722,2275.9,1007.42,499.87,99.23,710.74,71.2,119.03,,10.9,16689.41,74.29,107.56,101.24,222.99,98.6756,100.83,,97.91,148.52,1980.97,13.99,23.586,,159.18,1513.99,5209.41,102.19,,112.6371,9.786,,10497.11,13.45,120.26,,,102.47,9.601,4.3644186,100.557,12.62,,16.34,114.63,99.13,198.3747721,10.42,12.2441197,90.69,13.5396,120.664,170.5349,123.46,1580.15,16.2647,94.6956361,165.87,214.3101,100.78,5.3717857,22.1,225.81,1284.9008699,4.0928305,17.4768565,63.242537,40.6297225,220.4850313,4.4105,5.5298,,,15.6668766,34.389011,8.08081,17.8454838,23.0337804,2.9141258,39.8447295,4.3644186,34.6630295,21.3956,4.8505,17.5344,,34.36,29.8849,19.47,1697.7,13.84,,321.29,,182.33,4.0784221,1018.59,20.8399837,12.0615,10.82,17.0,25.13,49.83,4.4376753,12.76,93.0638506,9.88,11029.1,89.0625043,107.49,10.2902,69.46,92.35,8.63,9.8285,114.15,107.82,210.98,17.28,111.21,,,,,1761.08,,98.16,9.9036,454.51,17.2827,39.2585019,,85.4418224,92.73,18.1492736,74.0292466,210.2833342,1.6918,,,
2019-01-11,139.2704,2275.84,1007.4,499.85,99.23,709.97,71.12,119.28,,10.91,16781.45,74.72,107.78,101.36,223.38,98.6351,100.94,,97.89,149.55,1991.89,14.0,23.6269,,159.3,1514.26,5214.99,102.19,,112.6444,9.7903,,10497.19,13.48,120.37,,,102.5,9.615,4.3826086,100.627,12.61,,16.34,114.84,99.13,199.4447186,10.42,12.2908723,90.81,13.5396,120.955,170.5996,123.62,1580.98,16.2764,95.0751545,166.09,214.3325,100.81,5.3680705,22.13,226.35,1289.542709,4.1081674,17.5666782,63.2932918,41.052923,221.2836191,4.3978,5.5346,,,15.682356,34.3966342,8.1461127,17.9824349,23.1725106,2.9601318,40.0912461,4.3659679,34.8590023,21.4121,4.853,17.546,,34.39,29.8293,19.56,1698.76,13.81,,321.67,,181.34,4.0927464,1025.8,20.9969322,12.051,10.82,17.08,25.36,49.91,4.4762671,12.83,93.2664561,9.92,11029.1,89.842475,107.5,10.413,69.81,92.92,8.62,9.8136,114.53,108.18,211.69,17.31,110.74,,,,,1766.03,,98.88,10.006,455.1,17.3919,39.4104576,,85.604798,93.47,18.3222193,74.6828642,211.6333942,1.7008,,,
