age;job;marital;education;default;housing;loan;contact;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
57;blue-collar;married;professional.course;unknown;no;yes;telephone;2;999;1;unknown;1.4;94.465;-41.8;4.866;5228.1;no
31;blue-collar;married;basic;no;no;yes;telephone;4;999;2;unknown;1.1;93.994;-36.4;4.857;5191.0;no
39;services;unknown;basic;no;yes;no;cellular;5;999;2;unknown;-0.1;93.2;-42.0;4.076;5195.8;no
48;blue-collar;married;basic;no;yes;no;telephone;5;999;0;unknown;1.1;93.994;-36.4;4.864;5191.0;yes
37;blue-collar;married;basic;no;no;no;telephone;5;999;2;unknown;1.1;93.994;-36.4;4.856;5191.0;no
56;blue-collar;married;professional.course;unknown;yes;yes;telephone;1;999;2;unknown;1.4;94.465;-41.8;4.865;5228.1;no
53;unknown;married;high.school;no;yes;no;cellular;1;999;1;fail;-1.1;94.767;-50.8;1.05;4963.6;no
37;blue-collar;married;basic;no;yes;no;telephone;2;999;2;unknown;1.1;93.994;-36.4;4.864;5191.0;no
53;services;divorced;high.school;no;no;no;cellular;2;999;0;unknown;1.4;93.918;-42.7;4.962;5228.1;no
39;technician;married;other;no;no;no;cellular;3;999;3;fail;-0.1;93.2;-42.0;4.076;5195.8;no
24;admin.;single;high.school;no;no;yes;cellular;1;999;2;unknown;1.4;93.918;-42.7;4.963;5228.1;no
32;entrepreneur;married;basic;no;yes;no;telephone;1;999;0;unknown;-0.1;93.2;-42.0;4.12;5195.8;no
40;entrepreneur;single;high.school;no;yes;no;cellular;2;999;-1;unknown;1.4;93.918;-42.7;4.962;5228.1;no
38;technician;single;professional.course;no;no;no;cellular;4;999;0;unknown;1.4;93.444;-36.1;4.965;5228.1;no
37;admin.;single;university.degree;unknown;no;no;cellular;3;999;-1;unknown;1.4;93.918;-42.7;4.963;5228.1;no
51;blue-collar;married;basic;unknown;yes;yes;cellular;3;999;2;unknown;1.4;93.918;-42.7;4.962;5228.1;no
40;entrepreneur;married;basic;no;yes;no;telephone;3;999;0;unknown;1.4;93.918;-42.7;4.957;5228.1;no
57;admin.;divorced;university.degree;no;yes;no;cellular;4;999;-1;unknown;1.4;93.444;-36.1;4.963;5228.1;no
38;technician;single;university.degree;no;yes;no;cellular;6;999;0;unknown;1.4;93.918;-42.7;4.957;5228.1;no
49;self-employed;married;university.degree;unknown;no;no;telephone;1;999;1;unknown;1.4;94.465;-41.8;4.967;5228.1;no
28;blue-collar;single;high.school;no;yes;no;telephone;2;999;1;unknown;1.1;93.994;-36.4;4.857;5191.0;no
43;admin.;single;high.school;no;no;no;cellular;4;999;3;fail;-1.8;92.893;-46.2;1.244;5099.1;no
38;unemployed;married;basic;no;yes;no;cellular;3;999;1;fail;-0.1;93.2;-42.0;4.12;5195.8;no
41;blue-collar;divorced;other;no;yes;no;telephone;13;999;1;unknown;1.4;93.918;-42.7;4.961;5228.1;no
41;blue-collar;married;basic;unknown;no;no;cellular;6;999;0;unknown;-0.1;93.2;-42.0;4.12;5195.8;no
40;technician;divorced;university.degree;no;no;no;telephone;0;999;2;unknown;1.1;93.994;-36.4;4.857;5191.0;no
29;blue-collar;single;high.school;no;yes;no;telephone;7;999;2;unknown;1.4;94.465;-41.8;4.864;5228.1;no
34;unemployed;single;basic;unknown;no;no;telephone;3;999;-1;unknown;1.1;93.994;-36.4;4.855;5191.0;no
33;technician;married;university.degree;unknown;no;yes;cellular;0;999;-1;unknown;1.4;93.444;-36.1;4.963;5228.1;no
44;admin.;married;university.degree;unknown;yes;no;telephone;5;999;0;unknown;1.1;93.994;-36.4;4.857;5191.0;no
46;admin.;single;university.degree;no;no;no;cellular;2;999;1;unknown;1.4;93.444;-36.1;4.964;5228.1;yes
33;technician;married;university.degree;unknown;no;no;cellular;0;999;-1;unknown;-1.1;94.199;-37.5;0.878;4963.6;no
28;technician;single;professional.course;no;yes;no;cellular;3;999;1;fail;-1.8;92.893;-46.2;1.334;5099.1;no
29;admin.;married;university.degree;no;no;no;telephone;3;999;-1;unknown;1.1;93.994;-36.4;4.86;5191.0;no
34;services;single;high.school;no;no;no;cellular;2;999;0;unknown;1.4;93.918;-42.7;4.962;5228.1;no
32;entrepreneur;single;professional.course;no;yes;no;telephone;7;999;1;unknown;1.4;94.465;-41.8;4.96;5228.1;no
36;blue-collar;married;high.school;unknown;no;no;cellular;2;999;-1;unknown;-0.1;93.2;-42.0;4.191;5195.8;yes
45;unemployed;married;high.school;no;yes;no;cellular;5;999;0;unknown;1.4;93.918;-42.7;4.962;5228.1;no
34;unemployed;married;basic;no;yes;no;telephone;0;999;0;unknown;1.1;93.994;-36.4;4.856;5191.0;no
29;admin.;married;university.degree;no;yes;yes;cellular;4;999;0;unknown;1.4;93.444;-36.1;4.963;5228.1;no
47;blue-collar;married;basic;unknown;no;no;cellular;1;999;3;fail;-1.8;92.893;-46.2;1.344;5099.1;yes
37;technician;single;university.degree;no;yes;yes;cellular;2;999;-1;unknown;1.4;93.444;-36.1;4.968;5228.1;no
38;technician;married;high.school;no;no;no;cellular;5;999;1;fail;-0.1;93.2;-42.0;4.153;5195.8;no
40;technician;married;university.degree;unknown;yes;unknown;cellular;4;999;2;unknown;1.4;93.444;-36.1;4.963;5228.1;no
50;entrepreneur;married;high.school;no;no;no;telephone;2;999;2;unknown;-0.1;93.2;-42.0;4.153;5195.8;no
31;admin.;single;university.degree;no;yes;no;cellular;3;999;0;unknown;1.4;93.444;-36.1;4.967;5228.1;no
35;admin.;married;university.degree;no;yes;no;cellular;4;999;0;unknown;1.4;93.444;-36.1;4.963;5228.1;no
34;admin.;married;university.degree;no;yes;no;cellular;4;999;1;unknown;-1.8;92.893;-46.2;1.313;5099.1;no
57;other;divorced;university.degree;no;yes;no;cellular;4;11;3;success;-1.8;93.075;-47.1;1.405;5099.1;no
30;blue-collar;married;basic;unknown;yes;no;cellular;7;999;-1;unknown;-1.8;92.893;-46.2;1.299;5099.1;no
25;entrepreneur;single;high.school;no;yes;no;telephone;2;999;1;unknown;1.1;93.994;-36.4;4.857;5191.0;no
52;entrepreneur;divorced;other;no;yes;no;telephone;4;999;0;unknown;1.4;94.465;-41.8;4.958;5228.1;no
31;technician;single;university.degree;no;no;no;cellular;3;999;2;unknown;1.4;93.444;-36.1;4.963;5228.1;no
27;blue-collar;married;basic;no;no;no;cellular;3;999;0;unknown;-1.8;92.893;-46.2;1.25;5099.1;no
